"sample_year","est","lwr","upr","log_est","se","se_natural","type","model","region","species","est_mean","est_mean_sd"
2012,57.4340728141952,6.28020118212013,525.249530129333,4.05063773024769,1.12922264509398,24.7219132177301,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187307
2013,4623.04821485327,463.805651972778,46080.8847541003,8.43880955327696,1.1731562214603,2104.25174569212,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187307
2014,500067.316089465,168733.706212772,1482023.51642527,13.1224980005212,0.554306589709765,148463.028360354,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187307
2015,377641.221429216,64806.2822481752,2200602.8918063,12.8416998742158,0.899272671438359,145833.01011977,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187307
2016,30647.9294771524,4606.72419959994,203896.639029981,10.3303203853191,0.966879035855828,12975.5967366585,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187307
2017,12716.5110482785,2339.59446091514,69118.6681890739,9.45065651061275,0.863752414807229,4749.90999550401,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187307
2018,121468.158607344,25175.9450904735,586055.995214332,11.7074074383413,0.802955152767954,46016.1148406013,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187307
2019,10683.9479638697,2333.01813225563,48926.6424964797,9.2764977037453,0.776330418150078,4087.20740661488,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187307
2021,48018.765473641,15675.2778788316,147097.988018852,10.7793471608575,0.571187571214018,14132.9062930675,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187307
2022,14903.0432641349,3505.48230512634,63358.100027457,9.60932071699328,0.73839995710158,4902.252509028,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187307
2023,56649.4854318829,19855.6337028622,161624.869179295,10.9446381831295,0.534905300201982,16198.6058986982,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187307
2024,26820.7359022454,11329.3987753211,63494.267313193,10.1969305950217,0.43968884839155,6923.47968039924,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187307
2025,892728.072913552,316401.004596153,2518839.70212159,13.7020373038709,0.52922993590673,239916.517855584,"index","nbs.pollock","NBS","Pollock",114878.030677026,221582.136187307
2003,188688.043946421,100914.549914335,352805.199632258,12.1478503692349,0.319302281518583,34388.9521804992,"index","nbs.herring","NBS","Herring",236406.244326675,168558.998178714
2004,509508.085202576,321571.990043657,807279.542137832,13.1412010004151,0.234812622674097,75392.8204751698,"index","nbs.herring","NBS","Herring",236406.244326675,168558.998178714
2005,216101.167686615,113318.17082335,412111.441053158,12.2835019459353,0.329366834751119,41340.1997165927,"index","nbs.herring","NBS","Herring",236406.244326675,168558.998178714
2006,418633.871348431,247688.519710459,707559.310560868,12.9447520015075,0.26777264215035,69130.9061020262,"index","nbs.herring","NBS","Herring",236406.244326675,168558.998178714
2007,309083.294933521,192759.214773562,495605.272719056,12.641366082446,0.240906970240681,46777.267828702,"index","nbs.herring","NBS","Herring",236406.244326675,168558.998178714
2009,115939.208699269,63777.3812452794,210762.810440851,11.6608212697822,0.304937944757593,19689.8915169533,"index","nbs.herring","NBS","Herring",236406.244326675,168558.998178714
2010,75849.7783274652,44534.2961004532,129185.580015647,11.2365100622604,0.27168621273433,13478.4138198875,"index","nbs.herring","NBS","Herring",236406.244326675,168558.998178714
2011,291020.631268972,194112.7043479,436308.422515194,12.581149441472,0.206613603647894,42169.5801892136,"index","nbs.herring","NBS","Herring",236406.244326675,168558.998178714
2012,60404.4168552712,33057.0859568749,110375.535834747,11.0088175079922,0.307570082579203,10859.3562341322,"index","nbs.herring","NBS","Herring",236406.244326675,168558.998178714
2013,192139.315707659,111565.417319458,330904.661387116,12.1659759905317,0.277356928271732,32297.2066086604,"index","nbs.herring","NBS","Herring",236406.244326675,168558.998178714
2014,464668.619713689,300709.831417208,718024.166782425,13.0490797847398,0.222034039721206,64930.6953561765,"index","nbs.herring","NBS","Herring",236406.244326675,168558.998178714
2015,227280.402383627,134663.222177348,383596.801505557,12.3339397869578,0.267049548373998,37096.4446869282,"index","nbs.herring","NBS","Herring",236406.244326675,168558.998178714
2016,281949.248763291,138091.502537711,575671.764136793,12.5494823647994,0.36419575265231,60098.5969890457,"index","nbs.herring","NBS","Herring",236406.244326675,168558.998178714
2017,645965.982280495,357682.788443489,1166598.06886272,13.3785021223697,0.301587335399029,122697.154083309,"index","nbs.herring","NBS","Herring",236406.244326675,168558.998178714
2018,237554.159133717,139081.643334276,405747.136493746,12.3781509149178,0.273134872548734,39139.5684523386,"index","nbs.herring","NBS","Herring",236406.244326675,168558.998178714
2019,369399.890879441,230217.815782586,592726.844001549,12.8196350513478,0.241256416023952,54744.1946782965,"index","nbs.herring","NBS","Herring",236406.244326675,168558.998178714
2021,40530.7655839462,20683.6176023519,79422.4197334807,10.6098166087592,0.343230471746708,8018.95722511387,"index","nbs.herring","NBS","Herring",236406.244326675,168558.998178714
2022,78915.6436295779,44677.2072800704,139392.750545726,11.276134758785,0.290268605426056,13958.5195310325,"index","nbs.herring","NBS","Herring",236406.244326675,168558.998178714
2023,94163.2850121111,53376.5364099623,166116.51561972,11.4527856288799,0.289627308482456,16203.121117809,"index","nbs.herring","NBS","Herring",236406.244326675,168558.998178714
2024,70664.0179199808,36160.7019858878,138089.228205363,11.1656917820191,0.341824421091157,14214.1464573723,"index","nbs.herring","NBS","Herring",236406.244326675,168558.998178714
2025,76071.3015840913,41063.5608609352,140924.040764398,11.2394263581919,0.31457208034842,14378.9216104365,"index","nbs.herring","NBS","Herring",236406.244326675,168558.998178714
2004,2949.63627541064,583.565474955126,14908.9597150814,7.98943714526126,0.826688909536276,1231.79796742519,"index","nbs.capelin","NBS","Capelin",23081.0709218986,23871.7595522805
2005,12222.2414085576,2399.85380205757,62246.7855837643,9.41101263722818,0.830550740420332,5118.44984238611,"index","nbs.capelin","NBS","Capelin",23081.0709218986,23871.7595522805
2006,2173.33010576306,340.812345967834,13859.1333456619,7.68401588117314,0.945264237024984,913.011608810037,"index","nbs.capelin","NBS","Capelin",23081.0709218986,23871.7595522805
2007,7049.10322636628,1297.66443827625,38291.7608206731,8.8606556857816,0.863451755959969,2993.12192351053,"index","nbs.capelin","NBS","Capelin",23081.0709218986,23871.7595522805
2009,30130.4541942916,9965.91791120741,91094.8974337194,10.3132917064977,0.564482497281471,8901.42719830937,"index","nbs.capelin","NBS","Capelin",23081.0709218986,23871.7595522805
2010,58229.3030611847,18321.1183792585,185067.945351518,10.9721439960353,0.589977327077784,17931.2312714235,"index","nbs.capelin","NBS","Capelin",23081.0709218986,23871.7595522805
2011,45954.942494317,11709.9295179889,180347.519292215,10.7354166844437,0.697576209365929,15919.571048452,"index","nbs.capelin","NBS","Capelin",23081.0709218986,23871.7595522805
2012,44641.4578100133,12421.4057821464,160437.5374539,10.7064182535563,0.652686338930812,15125.749203408,"index","nbs.capelin","NBS","Capelin",23081.0709218986,23871.7595522805
2013,47109.7902251812,8492.71488062335,261321.893676676,10.7602361188118,0.874134489313183,19606.8818920353,"index","nbs.capelin","NBS","Capelin",23081.0709218986,23871.7595522805
2014,33743.4568955457,8223.95686840641,138451.709010749,10.4265418077439,0.720286227603506,12182.8172040813,"index","nbs.capelin","NBS","Capelin",23081.0709218986,23871.7595522805
2015,63552.7115291862,12489.0891118861,323398.056217568,11.0596249433578,0.830124576330982,25838.5240712282,"index","nbs.capelin","NBS","Capelin",23081.0709218986,23871.7595522805
2016,16680.0429063671,2865.93524535611,97079.5944566697,9.7219682482336,0.898648265007666,6916.90525565134,"index","nbs.capelin","NBS","Capelin",23081.0709218986,23871.7595522805
2017,518.532998373598,56.414218608804,4766.11175396753,6.25100366763796,1.13179755108314,252.714999749871,"index","nbs.capelin","NBS","Capelin",23081.0709218986,23871.7595522805
2018,2478.96588040276,335.479306304014,18317.8864410556,7.81559676848858,1.02044553365371,1184.37522489868,"index","nbs.capelin","NBS","Capelin",23081.0709218986,23871.7595522805
2019,82.0466933541661,0.424620576158536,15853.3530128301,4.40728851634822,2.68568597619943,78.8481169037927,"index","nbs.capelin","NBS","Capelin",23081.0709218986,23871.7595522805
2021,524.751321748122,57.3955319318774,4797.65480705414,6.26292447751248,1.12908096045657,257.684361531831,"index","nbs.capelin","NBS","Capelin",23081.0709218986,23871.7595522805
2022,11078.9842781054,2415.11385466611,50823.2323695054,9.31280528444804,0.777209982784883,4186.36945005657,"index","nbs.capelin","NBS","Capelin",23081.0709218986,23871.7595522805
2023,11356.5914134664,2570.54583200475,50173.0671076324,9.33755359561917,0.758013956381547,4381.54034446732,"index","nbs.capelin","NBS","Capelin",23081.0709218986,23871.7595522805
