"sample_year","est","lwr","upr","log_est","se","model","region","species"
2011,180.021227870164,53.3501968882071,607.451225565115,5.19307477654873,0.620520130931172,"nbs.pollock","NBS","Pollock"
2012,57.4357370418462,6.28037515165094,525.265419641838,4.05066670614054,1.12922329562091,"nbs.pollock","NBS","Pollock"
2013,4623.16827205323,463.815746758097,46082.2751730917,8.43883552221251,1.1731583664248,"nbs.pollock","NBS","Pollock"
2014,500068.634092003,168735.011778442,1482019.86159811,13.1225006361679,0.554303986725275,"nbs.pollock","NBS","Pollock"
2015,377634.498359998,64805.5297004262,2200550.09211149,12.8416820712624,0.899269512900439,"nbs.pollock","NBS","Pollock"
2016,30647.2152722897,4606.64063157245,203890.834789398,10.3302970815202,0.966876401527204,"nbs.pollock","NBS","Pollock"
2017,12716.1572275387,2339.54487218844,69116.2869144828,9.45062868649803,0.863749032881195,"nbs.pollock","NBS","Pollock"
2018,121464.907479204,25175.380541421,586037.765135561,11.7073806727124,0.802952937812945,"nbs.pollock","NBS","Pollock"
2019,10683.7191261914,2332.98156499991,48925.3134614257,9.27647628468468,0.77632748690262,"nbs.pollock","NBS","Pollock"
2021,48017.9346438367,15675.0517139835,147095.020133354,10.7793298585178,0.571186104803438,"nbs.pollock","NBS","Pollock"
2022,14902.9316941767,3505.45919220887,63357.5691238745,9.60931323057767,0.738399501465228,"nbs.pollock","NBS","Pollock"
2023,56648.9879580514,19855.4634959133,161623.416010005,10.9446294014784,0.534905193368442,"nbs.pollock","NBS","Pollock"
2024,26820.3913698095,11329.2656036176,63493.3823954181,10.1969177491904,0.439688291627739,"nbs.pollock","NBS","Pollock"
2025,892719.067110749,316397.904028414,2518813.56556495,13.7020272158626,0.529229788724103,"nbs.pollock","NBS","Pollock"
2003,188688.043948735,100914.549917868,352805.199628562,12.1478503692472,0.31930228150698,"nbs.herring","NBS","Herring"
2004,509508.085208437,321571.990044237,807279.542154953,13.1412010004266,0.234812622679047,"nbs.herring","NBS","Herring"
2005,216101.167687274,113318.170832478,412111.441022474,12.2835019459384,0.329366834711577,"nbs.herring","NBS","Herring"
2006,418633.871350534,247688.5198158,707559.310267055,12.9447520015125,0.267772641935921,"nbs.herring","NBS","Herring"
2007,309083.294937817,192759.214779865,495605.272716624,12.6413660824599,0.240906970231087,"nbs.herring","NBS","Herring"
2009,115939.208701551,63777.3812493216,210762.81043579,11.6608212698019,0.304937944735298,"nbs.herring","NBS","Herring"
2010,75849.7783275236,44534.2961147645,129185.579974331,11.2365100622612,0.271686212570764,"nbs.herring","NBS","Herring"
2011,291020.631274072,194112.70435287,436308.422519318,12.5811494414895,0.206613603643775,"nbs.herring","NBS","Herring"
2012,60404.4168553151,33057.085957597,110375.535832497,11.0088175079929,0.30757008256843,"nbs.herring","NBS","Herring"
2013,192139.315708287,111565.417357554,330904.661276284,12.1659759905349,0.277356928099176,"nbs.herring","NBS","Herring"
2014,464668.619740297,300709.83145195,718024.166781704,13.049079784797,0.222034039691477,"nbs.herring","NBS","Herring"
2015,227280.40238444,134663.222184049,383596.801489216,12.3339397869614,0.267049548350437,"nbs.herring","NBS","Herring"
2016,281949.248770894,138091.502495164,575671.764345207,12.5494823648264,0.364195752823268,"nbs.herring","NBS","Herring"
2017,645965.9822852,357682.788463883,1166598.06881319,13.378502122377,0.301587335373654,"nbs.herring","NBS","Herring"
2018,237554.159135104,139081.643337495,405747.136489096,12.3781509149236,0.273134872539908,"nbs.herring","NBS","Herring"
2019,369399.890880194,230217.815787785,592726.843990581,12.8196350513498,0.241256416013471,"nbs.herring","NBS","Herring"
2021,40530.7655842618,20683.617604002,79422.419728381,10.609816608767,0.343230471709975,"nbs.herring","NBS","Herring"
2022,78915.6436299918,44677.207292442,139392.750508589,11.2761347587903,0.290268605287449,"nbs.herring","NBS","Herring"
2023,94163.2850125293,53376.5364104767,166116.515619595,11.4527856288843,0.289627308479806,"nbs.herring","NBS","Herring"
2024,70664.017920361,36160.7019999123,138089.228153292,11.1656917820245,0.341824420896021,"nbs.herring","NBS","Herring"
2025,76071.3015845409,41063.5608656211,140924.040749982,11.2394263581978,0.314572080293213,"nbs.herring","NBS","Herring"
2004,1282.26843723445,459.475096108025,3578.45802537492,7.15638600498016,0.52363271496556,"nbs.capelin","NBS","Capelin"
2005,11741.9842738913,3932.1915379718,35062.9396754729,9.37092609731914,0.558160207667259,"nbs.capelin","NBS","Capelin"
2006,889.587727944526,362.720227348715,2181.75405185963,6.79075812837478,0.457725918386104,"nbs.capelin","NBS","Capelin"
